entry_time,entry_price,exit_time,exit_price,hold_seconds,quantity,profit_bps,cost_bps,net_profit_bps,pnl_amount
2025-11-26 11:03:09,1.597,2025-11-26 11:05:06,1.598,117,125200.0,6.261740763933075,2.0,4.261740763933075,85.19860000000335
2025-11-26 14:06:30,1.594,2025-11-26 14:08:21,1.595,111,125500.0,6.273525721454767,2.0,4.273525721454767,85.47805000000517
2025-11-26 14:32:00,1.596,2025-11-26 14:33:54,1.597,114,125400.0,6.265664160400313,2.0,4.265664160400313,85.35977999996976
2025-12-01 09:32:24,1.591,2025-12-01 09:32:42,1.592,18,125800.0,6.285355122565129,2.0,4.285355122565129,85.75786000001244
2025-12-01 09:33:54,1.591,2025-12-01 09:34:30,1.592,36,125900.0,6.285355122565129,2.0,4.285355122565129,85.82603000005474
2025-12-01 09:36:21,1.591,2025-12-01 09:38:21,1.592,120,125900.0,6.285355122565129,2.0,4.285355122565129,85.82603000005474
2025-12-01 09:39:00,1.591,2025-12-01 09:40:54,1.592,114,126000.0,6.285355122565129,2.0,4.285355122565129,85.89420000000973
2025-12-01 09:40:57,1.593,2025-12-01 09:42:03,1.594,66,125900.0,6.277463904583252,2.0,4.277463904583252,85.77567000000272
2025-12-01 09:42:06,1.594,2025-12-01 09:43:21,1.595,75,125800.0,6.273525721454767,2.0,4.273525721454767,85.68237999998382
2025-12-01 09:43:24,1.595,2025-12-01 09:44:12,1.596,48,125800.0,6.26959247648973,2.0,4.269592476489731,85.65722000002279
2025-12-01 09:45:18,1.595,2025-12-01 09:46:06,1.596,48,125900.0,6.26959247648973,2.0,4.269592476489731,85.7253100000089
2025-12-01 09:47:00,1.596,2025-12-01 09:48:54,1.597,114,125800.0,6.265664160400313,2.0,4.265664160400313,85.63206000000355
2025-12-01 09:49:03,1.598,2025-12-01 09:51:00,1.6,117,125700.0,12.51564455569463,2.0,10.515644555694628,211.20113999999012
2025-12-01 09:52:24,1.601,2025-12-01 09:54:24,1.602,120,125600.0,6.2460961898820235,2.0,4.2460961898820235,85.37032000001636
