entry_time,entry_price,exit_time,exit_price,hold_seconds,quantity,profit_bps,cost_bps,net_profit_bps,pnl_amount,merge_count
2025-11-26 11:03:09,1.597,2025-11-26 11:05:06,1.598,117.0,125200.0,6.261740763933075,2.0,4.261740763933075,85.19860000000335,
2025-11-26 14:06:30,1.594,2025-11-26 14:08:21,1.595,111.0,125500.0,6.273525721454767,2.0,4.273525721454767,85.47805000000517,0.0
2025-11-26 14:32:00,1.596,2025-11-26 14:33:54,1.597,114.0,125400.0,6.265664160400313,2.0,4.265664160400313,85.35977999996976,0.0
2025-12-01 09:32:24,1.591,2025-12-01 09:32:42,1.592,18.0,125800.0,6.285355122565129,2.0,4.285355122565129,85.75786000001244,0.0
2025-12-01 09:33:54,1.591,2025-12-01 09:34:30,1.592,36.0,125900.0,6.285355122565129,2.0,4.285355122565129,85.82603000005474,0.0
2025-12-01 09:36:21,1.591,2025-12-01 09:38:21,1.592,120.0,125900.0,6.285355122565129,2.0,4.285355122565129,85.82603000005474,0.0
2025-12-01 09:39:00,1.591,2025-12-01 09:44:12,1.596,312.0,126000.0,31.426775612822848,2.0,29.426775612822848,0.0,3.0
2025-12-01 09:45:18,1.595,2025-12-01 09:51:00,1.6,342.0,125900.0,31.347962382445864,2.0,29.347962382445864,0.0,2.0
2025-12-01 09:52:24,1.601,2025-12-01 09:57:15,1.603,291.0,125600.0,12.49219237976266,2.0,10.49219237976266,0.0,1.0
2025-12-01 10:00:30,1.602,2025-12-01 10:02:27,1.603,117.0,125700.0,6.242197253432521,2.0,4.242197253432521,85.41314999997849,0.0
2025-12-01 10:12:06,1.597,2025-12-01 10:12:45,1.598,39.0,126100.0,6.261740763933075,2.0,4.261740763933075,85.81105000004754,0.0
2025-12-01 10:24:54,1.593,2025-12-01 10:26:27,1.594,93.0,126500.0,6.277463904583252,2.0,4.277463904583252,86.18445000000065,0.0
2025-12-01 10:26:42,1.593,2025-12-01 10:29:12,1.595,150.0,126500.0,12.55492780916511,2.0,10.554927809165108,0.0,1.0
2025-12-01 10:33:30,1.594,2025-12-01 10:35:30,1.595,120.0,126600.0,6.273525721454767,2.0,4.273525721454767,86.22725999998511,0.0
2025-12-01 10:37:42,1.594,2025-12-01 10:41:06,1.596,204.0,126600.0,12.547051442910925,2.0,10.547051442910925,0.0,1.0
2025-12-01 10:53:51,1.595,2025-12-01 10:55:51,1.596,120.0,126600.0,6.26959247648973,2.0,4.269592476489731,86.20194000002812,0.0
2025-12-02 09:31:57,1.605,2025-12-02 09:32:36,1.606,39.0,125900.0,6.230529595016273,2.0,4.230529595016274,85.47351000003982,0.0
2025-12-02 09:33:09,1.605,2025-12-02 09:35:09,1.606,120.0,126000.0,6.230529595016273,2.0,4.230529595016274,85.54140000001644,0.0
2025-12-02 09:35:24,1.605,2025-12-02 09:36:42,1.606,78.0,126000.0,6.230529595016273,2.0,4.230529595016274,85.54140000001644,0.0
2025-12-02 09:40:06,1.604,2025-12-02 09:42:57,1.606,171.0,126100.0,12.468827930174575,2.0,10.468827930174573,0.0,1.0
2025-12-02 09:45:24,1.606,2025-12-02 09:48:24,1.609,180.0,126100.0,18.679950186798827,2.0,16.679950186798827,0.0,1.0
2025-12-02 10:00:06,1.607,2025-12-02 10:04:06,1.609,240.0,126100.0,12.445550715619177,2.0,10.445550715619175,0.0,1.0
