run_id,regime,duration
304,normal:neutral,50
305,normal:trending,50
306,normal:neutral,50
307,normal:trending,50
308,normal:neutral,61
309,normal:trending,50
310,normal:neutral,50
311,normal:trending,50
312,normal:neutral,60
313,normal:trending,63
314,normal:neutral,52
315,normal:trending,50
316,normal:neutral,50
317,normal:trending,50
318,normal:neutral,52
319,normal:trending,51
320,normal:neutral,67
321,normal:trending,50
322,normal:neutral,50
323,normal:trending,53
324,normal:neutral,63
325,normal:trending,50
326,normal:neutral,55
327,normal:trending,53
328,normal:neutral,80
329,normal:trending,50
330,normal:neutral,50
331,normal:trending,57
332,normal:neutral,50
333,normal:trending,59
334,normal:neutral,50
335,normal:trending,50
336,normal:neutral,68
337,normal:trending,53
338,normal:neutral,98
339,normal:trending,50
340,normal:neutral,59
341,normal:trending,50
342,normal:neutral,50
343,normal:trending,57
344,normal:neutral,50
345,normal:trending,101
346,normal:neutral,55
347,normal:trending,50
348,normal:neutral,50
349,normal:trending,50
350,normal:neutral,50
351,normal:trending,50
352,normal:neutral,93
353,normal:trending,50
354,normal:neutral,50
355,normal:trending,50
356,normal:neutral,50
357,normal:trending,57
358,normal:neutral,75
359,normal:trending,51
360,normal:neutral,50
361,normal:trending,89
362,normal:neutral,50
363,normal:trending,50
364,normal:neutral,62
365,normal:trending,53
366,normal:neutral,50
367,normal:trending,54
368,normal:neutral,76
369,normal:trending,50
370,normal:neutral,50
371,normal:trending,54
372,normal:neutral,57
373,normal:trending,60
374,normal:neutral,50
375,normal:trending,50
376,normal:neutral,51
377,normal:trending,50
378,normal:neutral,52
379,normal:trending,53
380,normal:neutral,63
381,normal:trending,50
382,normal:neutral,85
383,normal:trending,50
384,normal:neutral,36
385,high_volatility:neutral,41
386,normal:neutral,59
387,illiquid:neutral,84
388,normal:neutral,63
389,normal:trending,52
390,normal:neutral,24
391,illiquid:neutral,55
392,normal:neutral,53
393,illiquid:neutral,30
394,normal:neutral,30
395,illiquid:neutral,80
396,normal:neutral,30
397,illiquid:neutral,76
398,normal:neutral,50
399,normal:trending,14
400,illiquid:neutral,74
401,normal:neutral,30
402,illiquid:neutral,257
403,normal:neutral,40
404,illiquid:neutral,218
405,normal:neutral,30
406,illiquid:neutral,30
407,normal:neutral,50
408,normal:trending,50
409,normal:neutral,50
410,normal:trending,50
411,normal:neutral,55
412,normal:trending,91
413,normal:neutral,68
414,normal:trending,50
415,normal:neutral,51
416,normal:trending,50
417,normal:neutral,37
418,illiquid:neutral,49
419,normal:neutral,114
420,normal:trending,14
421,illiquid:neutral,30
422,normal:neutral,50
423,normal:trending,50
424,normal:neutral,50
425,normal:trending,50
426,normal:neutral,50
427,normal:trending,50
428,normal:neutral,50
429,normal:trending,50
430,normal:neutral,64
431,normal:trending,50
432,normal:neutral,55
433,normal:trending,81
434,normal:neutral,51
435,normal:trending,50
436,normal:neutral,50
437,normal:trending,61
438,normal:neutral,66
439,normal:trending,50
440,normal:neutral,51
441,normal:trending,60
442,normal:neutral,50
443,normal:trending,57
444,normal:neutral,50
445,normal:trending,61
446,normal:neutral,50
447,normal:trending,99
448,illiquid:neutral,30
449,normal:neutral,31
450,illiquid:neutral,30
451,normal:neutral,36
452,illiquid:neutral,501
453,high_volatility:neutral,39
454,normal:neutral,67
455,normal:trending,50
456,normal:neutral,59
457,normal:trending,50
458,normal:neutral,69
459,normal:trending,50
460,normal:neutral,53
461,normal:trending,50
462,normal:neutral,50
463,normal:trending,50
464,normal:neutral,54
465,normal:trending,50
466,normal:neutral,51
467,normal:trending,52
468,normal:neutral,50
469,normal:trending,50
470,normal:neutral,61
471,normal:trending,52
472,normal:neutral,50
473,normal:trending,50
474,normal:neutral,58
475,normal:trending,53
476,normal:neutral,60
477,normal:trending,85
478,normal:neutral,55
479,normal:trending,50
480,normal:neutral,69
481,normal:trending,50
482,normal:neutral,50
483,normal:trending,70
