symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags
sh513130,09:30:05,1765330208081,5552.8,0.9072,3.7374,0.731,0.73,0.137,1244500,909154,0.7305,0.73,31147700,0.729,17966500,0.728,38075300,0.727,41327400,0.726,33301800,0.731,13630100,0.732,20312100,0.733,26851700,0.734,25107800,0.735,24377500,545,100,0
sh513130,09:30:08,1765330211092,5553.21,0.9072,2.2276,0.73,0.73,0.0,3090500,2256394,0.7301,0.73,26885200,0.729,19017700,0.728,44456400,0.727,45569600,0.726,35004200,0.731,15565700,0.732,26873800,0.733,36094800,0.734,26207500,0.735,22977800,549,100,0
sh513130,09:30:11,1765330215091,5553.3,0.9072,2.4499,0.731,0.7307,0.0411,1132300,827230,0.7306,0.73,26016300,0.729,23637200,0.728,46915800,0.727,45674000,0.726,35443700,0.731,17249300,0.732,29516200,0.733,39395200,0.734,26209500,0.735,22170800,588,100,0
sh513130,09:30:14,1765330218085,5549.41,0.9072,3.293,0.73,0.7307,-0.0958,845200,617135,0.7302,0.73,26427400,0.729,28612900,0.728,47349700,0.727,41796800,0.726,33345800,0.731,15691100,0.732,29604900,0.733,38490000,0.734,26371200,0.735,23548700,1038,100,0
sh513130,09:30:17,1765330220142,5548.03,0.9072,3.2094,0.731,0.7307,0.0411,1049700,766581,0.7303,0.73,28371600,0.729,27915300,0.728,47938300,0.727,35556500,0.726,32814800,0.731,14177600,0.732,31595900,0.733,40499400,0.734,26606800,0.735,26301700,779,100,0
sh513130,09:30:20,1765330222099,5548.71,0.9072,3.8629,0.731,0.73,0.137,524300,383033,0.7306,0.73,24786000,0.729,25230500,0.728,48704500,0.727,35779200,0.726,37639500,0.731,14971900,0.732,32404300,0.733,31519200,0.734,26606800,0.735,26451700,632,100,0
sh513130,09:30:23,1765330226100,5545.84,0.9072,2.7079,0.731,0.73,0.137,834800,610180,0.7309,0.73,23296600,0.729,27658800,0.728,49175900,0.727,39253600,0.726,38305300,0.731,21979700,0.732,34467600,0.733,27869600,0.734,25609400,0.735,28527700,1376,100,0
sh513130,09:30:26,1765330229117,5543.22,0.9072,3.4514,0.731,0.7293,0.2331,2288900,1672917,0.7309,0.73,23311400,0.729,24071400,0.728,36406700,0.727,43280000,0.726,39577600,0.731,30654900,0.732,22470100,0.733,27876600,0.734,25929400,0.735,29116000,104,100,0
sh513130,09:30:29,1765330231131,5542.25,0.9072,1.9795,0.731,0.7293,0.2331,5644100,4121087,0.7302,0.73,19387400,0.729,23797200,0.728,36466800,0.727,36941300,0.726,39722600,0.731,32959200,0.732,23512500,0.733,28928600,0.734,26375400,0.735,27256200,609,100,0
sh513130,09:30:32,1765330235120,5539.63,0.9072,4.7232,0.731,0.7293,0.2331,21663400,15816100,0.7301,0.73,136700,0.729,24765600,0.728,38280100,0.727,34981700,0.726,39892600,0.731,25316900,0.732,23634500,0.733,29083500,0.734,26387000,0.735,27396700,631,100,0
sh513130,09:30:35,1765330237123,5540.32,0.9072,4.3748,0.73,0.7287,0.1784,3079500,2248049,0.73,0.729,21590000,0.728,38462600,0.727,36133600,0.726,40058300,0.725,40480200,0.73,20859700,0.731,26210400,0.732,23413400,0.733,29738900,0.734,27427400,460,100,0
sh513130,09:30:38,1765330241122,5540.81,0.9072,6.1395,0.73,0.7287,0.1784,920600,672018,0.73,0.729,22484900,0.728,36458100,0.727,48147100,0.726,41168300,0.725,44598700,0.73,24981100,0.731,40059500,0.732,35587200,0.733,29755800,0.734,27429400,614,100,0
sh513130,09:30:41,1765330243121,5539.44,0.9072,4.5443,0.73,0.7287,0.1784,1237100,903055,0.73,0.729,21507500,0.728,32161600,0.727,47118100,0.726,53169900,0.725,48998700,0.73,41548600,0.731,40038600,0.732,22689700,0.733,28848200,0.734,24429400,622,100,0
