symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags
sh513130,14:05:09,1764137111936,5617.86,0.9106,2.434,0.741,0.7413,-0.0405,2585800,1916022,0.741,0.741,5994800,0.74,153768400,0.739,114729600,0.738,86305700,0.737,69945500,0.742,99651600,0.743,136913300,0.744,108946300,0.745,156736100,0.746,93992100,1468,100,0
sh513130,14:05:12,1764137114928,5618.12,0.9106,2.4507,0.741,0.7413,-0.0405,503800,373316,0.741,0.74,154121200,0.739,114480900,0.738,86305700,0.737,69945500,0.736,37802100,0.741,4933400,0.742,100772600,0.743,137182500,0.744,110324500,0.745,156732600,403,100,0
sh513130,14:05:15,1764137117921,5617.26,0.9106,2.0619,0.741,0.7413,-0.0405,33600,24898,0.741,0.74,153127600,0.739,114751700,0.738,87304400,0.737,69945500,0.736,37802100,0.741,8143200,0.742,103794800,0.743,137082500,0.744,108934500,0.745,156583700,1338,100,0
sh513130,14:05:18,1764137119937,5617.09,0.9106,1.0049,0.74,0.7413,-0.1754,801000,592741,0.74,0.74,152356200,0.739,114752500,0.738,87304400,0.737,69895500,0.736,37802100,0.741,8542200,0.742,105483500,0.743,136702800,0.744,108854500,0.745,156603700,1134,100,0
sh513130,14:05:18,1764137121926,5617.37,0.9106,2.164,0.74,0.7413,-0.1754,801000,592741,0.74,0.74,152356200,0.739,114752500,0.738,87304400,0.737,69895500,0.736,37802100,0.741,8542200,0.742,105483500,0.743,136702800,0.744,108854500,0.745,156603700,999,100,0
sh513130,14:05:21,1764137122921,5617.27,0.9106,2.8777,0.741,0.7413,-0.0405,122000,90283,0.74,0.74,152129600,0.739,114754500,0.738,87304400,0.737,69895500,0.736,37802100,0.741,18396000,0.742,105494000,0.743,133363500,0.744,108854500,0.745,156430500,429,100,0
sh513130,14:05:24,1764137126945,5617.66,0.9106,2.8505,0.741,0.7413,-0.0405,47200,34976,0.741,0.74,153255700,0.739,114754500,0.738,87568400,0.737,69820300,0.736,37803000,0.741,30029800,0.742,106603100,0.743,133353500,0.744,108754500,0.745,156426800,406,100,0
sh513130,14:05:27,1764137129955,5617.18,0.9106,2.5738,0.74,0.7413,-0.1754,880400,651496,0.74,0.74,152092600,0.739,114754400,0.738,87538400,0.737,69820300,0.736,37819900,0.741,29491100,0.742,107474700,0.743,133495700,0.744,108740500,0.745,156435900,359,100,0
sh513130,14:05:30,1764137132949,5617.34,0.9106,1.2998,0.741,0.7413,-0.0405,20000,14820,0.741,0.74,151184500,0.739,114761100,0.738,88530400,0.737,69820300,0.736,37836200,0.741,56785500,0.742,104604600,0.743,133416900,0.744,88663500,0.745,156466400,406,100,0
sh513130,14:05:33,1764137135951,5616.57,0.9106,1.078,0.74,0.7413,-0.1754,519900,384736,0.74,0.74,150555600,0.739,114781400,0.738,88535400,0.737,69821500,0.736,37836200,0.741,44746600,0.742,104199200,0.743,133392400,0.744,103665500,0.745,156392200,1452,100,0
