symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags
sh513130,09:30:06,1765243808448,5658.38,0.9084,2.6264,0.746,0.7459,0.0134,413000,307917,0.7456,0.745,16532400,0.744,27430200,0.743,42474000,0.742,37125400,0.741,33805800,0.746,24680300,0.747,34683100,0.748,36217000,0.749,32383400,0.75,33252400,1,100,0
sh513130,09:30:08,1765243810447,5659.01,0.9084,1.3387,0.745,0.7452,-0.0268,1228200,915875,0.7457,0.745,12475900,0.744,34567900,0.743,50676900,0.742,38155200,0.741,30052400,0.746,30914200,0.747,45973800,0.748,37777700,0.749,34318400,0.75,30949000,9,100,0
sh513130,09:30:12,1765243814458,5659.36,0.9084,1.0814,0.745,0.7452,-0.0268,652000,485757,0.745,0.745,11320500,0.744,42326200,0.743,51671000,0.742,39195300,0.741,30640800,0.746,34424900,0.747,46827100,0.748,39311100,0.749,34973700,0.75,32048400,25,100,0
sh513130,09:30:15,1765243816464,5658.57,0.9084,-0.6112,0.745,0.7452,-0.0268,969500,722428,0.7452,0.745,12482200,0.744,47191500,0.743,54555700,0.742,39519800,0.741,30868800,0.746,36472200,0.747,49001700,0.748,40425600,0.749,35402200,0.75,33979700,8,100,0
sh513130,09:30:18,1765243819466,5657.85,0.9084,3.082,0.746,0.7452,0.1074,1239000,923152,0.7451,0.745,12677200,0.744,38814800,0.743,54715900,0.742,39727800,0.741,31822300,0.746,25009200,0.747,49152700,0.748,41105800,0.749,36066300,0.75,35270700,769,100,0
sh513130,09:30:20,1765243822482,5658.77,0.9084,3.8024,0.746,0.7459,0.0134,2326200,1735226,0.7459,0.745,11481100,0.744,39321900,0.743,54775200,0.742,40148100,0.741,30897600,0.746,23673800,0.747,49163300,0.748,40369500,0.749,35361000,0.75,35130200,38,100,0
sh513130,09:30:23,1765243825465,5659.56,0.9084,2.4278,0.746,0.7452,0.1074,794400,591970,0.7452,0.745,11045400,0.744,31822600,0.743,59826700,0.742,54134200,0.741,31429200,0.746,36539300,0.747,53891600,0.748,46323100,0.749,30288200,0.75,35492000,315,100,0
sh513130,09:30:27,1765243828476,5662.63,0.9084,1.5542,0.746,0.7452,0.1074,411000,306286,0.7452,0.745,11219500,0.744,36258400,0.743,48771100,0.742,68306300,0.741,45712200,0.746,45943100,0.747,39963600,0.748,60109800,0.749,43287800,0.75,37051300,47,100,0
sh513130,09:30:30,1765243831497,5668.24,0.9084,3.2896,0.745,0.7452,-0.0268,649200,483887,0.7454,0.745,12857800,0.744,39311800,0.743,49490000,0.742,58314100,0.741,45843200,0.746,34428500,0.747,40285000,0.748,60279700,0.749,48591700,0.75,37438500,959,100,0
sh513130,09:30:33,1765243834477,5664.8,0.9084,2.1987,0.746,0.7452,0.1074,2441700,1821149,0.7459,0.745,28979700,0.744,40104500,0.743,50018900,0.742,34279700,0.741,33911900,0.746,24365500,0.747,32738900,0.748,48337100,0.749,36635300,0.75,46341700,53,100,0
