symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags
sh513130,09:30:02,1766971807872,5547.97,0.9012,4.0111,0.724,0.7216,0.3326,0,0,0.724,0.723,21790200,0.722,32193000,0.721,29974100,0.72,25392300,0.719,24439200,0.724,17166800,0.725,17493200,0.726,24954900,0.727,21947300,0.728,18015500,599,100,1
sh513130,09:30:05,1766971808858,5547.97,0.9012,2.3888,0.723,0.7216,0.194,3389600,2453565,0.7239,0.723,25201400,0.722,32878400,0.721,30786300,0.72,27038100,0.719,23867900,0.724,19447500,0.725,19754800,0.726,24652400,0.727,22886400,0.728,18214200,1585,100,0
sh513130,09:30:08,1766971811852,5550.35,0.9012,4.7811,0.724,0.7236,0.0553,4724000,3418481,0.7236,0.723,24654500,0.722,34312900,0.721,32126400,0.72,29126400,0.719,25519300,0.724,18765700,0.725,22118400,0.726,26125500,0.727,26566500,0.728,20038400,272,100,0
sh513130,09:30:11,1766971814850,5549.64,0.9012,5.7982,0.724,0.7236,0.0553,6442200,4663702,0.7239,0.723,24662800,0.722,34491300,0.721,35111600,0.72,35289200,0.719,26561500,0.724,15074600,0.725,22374700,0.726,27180300,0.727,30049300,0.728,21795000,1119,100,0
sh513130,09:30:14,1766971815853,5552.32,0.9012,5.6073,0.724,0.7236,0.0553,2884100,2087615,0.7238,0.723,25060100,0.722,34059100,0.721,35851500,0.72,36432600,0.719,26745100,0.724,15204700,0.725,22799900,0.726,27510300,0.727,32465100,0.728,22061800,618,100,0
sh513130,09:30:17,1766971819853,5557.66,0.9012,3.5634,0.724,0.7243,-0.0414,2755300,1994696,0.7239,0.723,25389100,0.722,34346400,0.721,36685700,0.72,36957900,0.719,27067300,0.724,13857400,0.725,23013700,0.726,29118800,0.727,33221600,0.728,25191000,110,100,0
sh513130,09:30:20,1766971822850,5561.4,0.9012,4.0586,0.724,0.7243,-0.0414,8792700,6365844,0.724,0.723,25995500,0.722,37713400,0.721,39374800,0.72,35662500,0.719,26084300,0.724,7755800,0.725,23031700,0.726,28457300,0.727,34282600,0.728,26718900,519,100,0
sh513130,09:30:23,1766971825848,5560.77,0.9012,1.5497,0.724,0.7256,-0.2205,8011400,5800263,0.724,0.724,23955800,0.723,29953000,0.722,37884100,0.721,33142500,0.72,36776900,0.725,22596000,0.726,27770900,0.727,32116500,0.728,28133100,0.729,31158300,625,100,0
sh513130,09:30:26,1766971828833,5560.78,0.9012,0.4312,0.724,0.7256,-0.2205,5188900,3761367,0.7249,0.724,38795000,0.723,32049400,0.722,33544200,0.721,31765200,0.72,39621600,0.725,19036100,0.726,27906400,0.727,33209600,0.728,34553100,0.729,33461900,55,100,0
sh513130,09:30:23,1766971829847,5561.17,0.9012,0.4226,0.724,0.7256,-0.2205,0,0,0.724,0.724,23955800,0.723,29953000,0.722,37884100,0.721,33142500,0.72,36776900,0.725,22596000,0.726,27770900,0.727,32116500,0.728,28133100,0.729,31158300,577,100,1
