symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags,fut_local_time,fut_tick_time,fut_price,fut_mid,fut_imb,fut_delta_vol,fut_pct
sz159920,09:32:42,1766021565141,09:33:45,1766021565005,1.547,1.5525,-0.3543,25273.4,0.9048,5.8006,0,0,1.547,0.0,1.546,6390900,1.545,5378700,1.544,4034900,1.543,958200,1.542,3128700,1.547,290500,1.548,4275800,1.549,4774900,1.550,510700,1.551,608300,135,23,1,09:32:45.118,09:32:44,25281.28,25284.5,0.23,16,-0.66
sz159920,09:32:42,1766021566123,09:33:45,1766021565474,1.547,1.5525,-0.3543,25273.4,0.9048,5.8558,0,0,1.547,0.982,1.546,6390900,1.545,5378700,1.544,4034900,1.543,958200,1.542,3128700,1.547,290500,1.548,4275800,1.549,4774900,1.550,510700,1.551,608300,648,4,0,09:32:46.118,09:32:45,25280.03,25283.5,0.0,3,-0.66
sz159920,09:32:42,1766021567125,09:33:47,1766021567010,1.547,1.5525,-0.3543,25268.27,0.9048,5.4753,0,0,1.547,1.002,1.546,6390900,1.545,5378700,1.544,4034900,1.543,958200,1.542,3128700,1.547,290500,1.548,4275800,1.549,4774900,1.550,510700,1.551,608300,115,5,0,09:32:47.120,09:32:46,25276.39,25279.0,0.75,18,-0.68
sz159920,09:32:45,1766021568125,09:33:47,1766021567650,1.546,1.5511,-0.3288,25268.27,0.9048,4.1956,160200,247774,1.5467,1.0,1.546,1683200,1.545,6733300,1.544,4334900,1.543,3958200,1.542,128700,1.547,3497100,1.548,3220000,1.549,3520200,1.550,510700,1.551,608300,474,4,0,09:32:48.121,09:32:48,25275.2,25277.0,0.33,5,-0.68
sz159920,09:32:45,1766021569123,09:33:49,1766021569009,1.546,1.5511,-0.3288,25272.06,0.9048,4.4926,0,0,1.546,0.998,1.546,1683200,1.545,6733300,1.544,4334900,1.543,3958200,1.542,128700,1.547,3497100,1.548,3220000,1.549,3520200,1.550,510700,1.551,608300,114,4,0,09:32:49.119,09:32:48,25274.3,25278.0,0.0,17,-0.69
sz159920,09:32:48,1766021570123,09:33:49,1766021569817,1.546,1.5511,-0.3288,25272.06,0.9048,3.8716,151400,234079,1.5461,1.0,1.546,624600,1.545,7105200,1.544,4935200,1.543,3958200,1.542,128700,1.547,3715000,1.548,3220000,1.549,3510000,1.550,286800,1.551,3608300,305,511,0,09:32:49.612,09:32:49,25276.7,25280.0,0.43,8,-0.68
sz159920,09:32:48,1766021571116,09:33:51,1766021571002,1.546,1.5511,-0.3288,25270.26,0.9048,7.2696,0,0,1.546,0.993,1.546,624600,1.545,7105200,1.544,4935200,1.543,3958200,1.542,128700,1.547,3715000,1.548,3220000,1.549,3510000,1.550,286800,1.551,3608300,114,4,0,09:32:51.112,09:32:50,25277.59,25281.0,0.33,5,-0.67
sz159920,09:32:48,1766021572118,09:33:51,1766021571993,1.546,1.5511,-0.3288,25270.26,0.9048,6.8993,0,0,1.546,1.001,1.546,624600,1.545,7105200,1.544,4935200,1.543,3958200,1.542,128700,1.547,3715000,1.548,3220000,1.549,3510000,1.550,286800,1.551,3608300,124,5,0,09:32:52.112,09:32:51,25277.9,25282.0,0.82,1,-0.67
sz159920,09:32:51,1766021573114,09:33:53,1766021573005,1.546,1.5511,-0.3288,25268.21,0.9048,6.2689,153400,237165,1.5461,0.996,1.546,1729100,1.545,6540100,1.544,4310900,1.543,3959500,1.542,128700,1.547,3714800,1.548,3220000,1.549,3527900,1.550,286800,1.551,3608500,108,502,0,09:32:52.611,09:32:52,25279.7,25282.5,0.07,2,-0.67
sz159920,09:32:51,1766021574108,09:33:53,1766021573005,1.546,1.5511,-0.3288,25268.21,0.9048,6.3653,0,0,1.546,0.994,1.546,1729100,1.545,6540100,1.544,4310900,1.543,3959500,1.542,128700,1.547,3714800,1.548,3220000,1.549,3527900,1.550,286800,1.551,3608500,1102,4,0,09:32:54.104,09:32:53,25280.26,25283.0,0.0,0,-0.66
