symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,fut_local_time,fut_tick_time,fut_price,fut_mid,fut_imb,fut_delta_vol,fut_pct
sz159920,09:31:30,1764639092079,,0,1.606,1.6079,-0.1182,0.0,0.9075,0.0,0,0,1.606,0.0,1.605,2784700,1.604,6060000,1.603,7607600,1.602,5601700,1.601,1128900,1.606,3060800,1.607,7814500,1.608,4224900,1.609,2182000,1.61,2145100,09:31:32.075,09:31:31,26183.94,26177.5,-0.11,0,0.49
sz159920,09:31:30,1764639092810,,0,1.606,1.6079,-0.1182,0.0,0.9075,0.4141,0,0,1.606,0.731,1.605,2784700,1.604,6060000,1.603,7607600,1.602,5601700,1.601,1128900,1.606,3060800,1.607,7814500,1.608,4224900,1.609,2182000,1.61,2145100,09:31:32.307,09:31:32,26182.5,26176.0,0.67,4,0.49
sz159920,09:31:30,1764639094543,,0,1.606,1.6079,-0.1182,0.0,0.9075,1.0094,0,0,1.606,1.733,1.605,2784700,1.604,6060000,1.603,7607600,1.602,5601700,1.601,1128900,1.606,3060800,1.607,7814500,1.608,4224900,1.609,2182000,1.61,2145100,09:31:34.514,09:31:33,26172.2,26166.0,0.6,3,0.45
sz159920,09:31:42,1764639106531,,0,1.605,1.6079,-0.1804,0.0,0.9075,0.0,0,0,1.605,0.0,1.604,3831600,1.603,6108700,1.602,7115600,1.601,5628900,1.6,1752800,1.605,2924400,1.606,6800300,1.607,5778200,1.608,1413200,1.609,2167000,09:31:46.530,09:31:45,26166.3,26159.5,0.11,0,0.42
sz159920,09:31:45,1764639107906,,0,1.604,1.6072,-0.1991,0.0,0.9075,0.5123,15500,24877,1.605,1.375,1.604,2325500,1.603,6158700,1.602,7057200,1.601,5687300,1.6,1799000,1.605,2944400,1.606,6871700,1.607,5778200,1.608,1423200,1.609,2168000,09:31:47.894,09:31:47,26167.2,26161.0,-0.67,1,0.43
sz159920,09:31:45,1764639108529,,0,1.604,1.6072,-0.1991,0.0,0.9075,1.7521,0,0,1.604,0.622,1.604,2325500,1.603,6158700,1.602,7057200,1.601,5687300,1.6,1799000,1.605,2944400,1.606,6871700,1.607,5778200,1.608,1423200,1.609,2168000,09:31:48.242,09:31:47,26169.0,26160.0,-0.2,5,0.43
sz159920,09:31:45,1764639109759,,0,1.604,1.6072,-0.1991,0.0,0.9075,1.7521,0,0,1.604,1.23,1.604,2325500,1.603,6158700,1.602,7057200,1.601,5687300,1.6,1799000,1.605,2944400,1.606,6871700,1.607,5778200,1.608,1423200,1.609,2168000,09:31:48.954,09:31:48,26167.03,26159.0,0.0,7,0.43
sz159920,09:31:45,1764639111927,,0,1.604,1.6072,-0.1991,0.0,0.9075,1.9205,0,0,1.604,2.168,1.604,2325500,1.603,6158700,1.602,7057200,1.601,5687300,1.6,1799000,1.605,2944400,1.606,6871700,1.607,5778200,1.608,1423200,1.609,2168000,09:31:51.023,09:31:49,26167.92,26160.0,0.5,13,0.43
sz159920,09:31:48,1764639113047,,0,1.605,1.6072,-0.1369,0.0,0.9075,0.8239,73800,118390,1.6042,1.12,1.604,2225100,1.603,7162300,1.602,7060400,1.601,5928900,1.6,1857400,1.605,2942900,1.606,6882300,1.607,5763700,1.608,1394500,1.609,2168000,09:31:52.410,09:31:51,26165.76,26160.0,0.5,35,0.42
sz159920,09:31:48,1764639113708,,0,1.605,1.6072,-0.1369,0.0,0.9075,0.8239,0,0,1.605,0.661,1.604,2225100,1.603,7162300,1.602,7060400,1.601,5928900,1.6,1857400,1.605,2942900,1.606,6882300,1.607,5763700,1.608,1394500,1.609,2168000,09:31:53.461,09:31:52,26166.48,26160.0,0.5,17,0.42
