symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags,fut_price,fut_mid,fut_imb,fut_delta_vol,fut_pct
sz159920,09:28:54,1769477390482,,0.8914,0.0,1.616,1.6225,-0.4006,0,0,1.616,1.616,32000,1.615,331000,1.614,535600,1.613,323600,1.612,665300,1.617,3800,1.618,900900,1.619,79200,1.620,436200,1.621,52900,99999,394,1,26923.88,26933.0,-0.54,0,0.51
sz159920,09:29:54,1769477396450,,0.8914,0.0,1.616,1.6225,-0.4006,0,0,1.616,1.616,32000,1.615,331000,1.614,535600,1.613,323600,1.612,665300,1.617,3800,1.618,900900,1.619,79200,1.620,436200,1.621,52900,99999,359,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:00,1769477403459,,0.8914,2.3919,1.616,1.6225,-0.4006,127400,205867,1.6159,1.616,4249100,1.615,2000300,1.614,2181800,1.613,474700,1.612,710100,1.617,2317300,1.618,6977000,1.619,6275400,1.620,6490300,1.621,1232800,99999,380,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:03,1769477407452,,0.8914,2.5281,1.615,1.6225,-0.4622,2273000,3673249,1.616,1.615,4317600,1.614,2181800,1.613,2743700,1.612,252300,1.611,55500,1.616,1009600,1.617,9696200,1.618,7814800,1.619,6341800,1.620,2294300,99999,376,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:06,1769477408455,,0.8914,2.5192,1.614,1.6225,-0.5239,609400,984197,1.615,1.615,1000,1.614,4104700,1.613,2744600,1.612,2558800,1.611,649000,1.616,8320100,1.617,7516100,1.618,8121500,1.619,1743800,1.620,6267500,99999,375,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:09,1769477412473,,0.8914,4.7711,1.614,1.6222,-0.5055,310100,500813,1.615,1.614,4101300,1.613,2599300,1.612,3004800,1.611,1243900,1.610,175800,1.615,1002300,1.616,8361700,1.617,7584600,1.618,8123000,1.619,3659900,99999,407,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:12,1769477415466,,0.8914,5.1084,1.616,1.6222,-0.3822,67300,108752,1.6159,1.614,4213800,1.613,6723100,1.612,3005100,1.611,1284700,1.610,176100,1.615,3229800,1.616,11083000,1.617,12586100,1.618,9559900,1.619,3659900,99999,376,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:15,1769477417480,,0.8914,7.0818,1.615,1.6222,-0.4438,70600,113999,1.6147,1.614,4194000,1.613,6819300,1.612,3005100,1.611,1284700,1.610,176100,1.615,3206500,1.616,11083200,1.617,12556100,1.618,9559900,1.619,3659900,99999,396,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:18,1769477420484,,0.8914,4.8483,1.614,1.6222,-0.5055,400,646,1.615,1.614,6413700,1.613,4599300,1.612,3005100,1.611,1284700,1.610,3176100,1.615,1041500,1.616,13318200,1.617,12559200,1.618,9559900,1.619,3659900,99999,411,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:21,1769477423491,,0.8914,3.2301,1.615,1.6222,-0.4438,2000,3230,1.615,1.614,2194200,1.613,6820200,1.612,5005100,1.611,1284700,1.610,176100,1.615,8293100,1.616,11098200,1.617,7559200,1.618,9559900,1.619,3659900,99999,424,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:24,1769477427489,,0.8914,2.4903,1.615,1.6211,-0.3763,58200,93993,1.615,1.614,6414200,1.613,4600200,1.612,3005100,1.611,1284700,1.610,176100,1.615,138300,1.616,13317700,1.617,12503900,1.618,9559900,1.619,3808900,99999,437,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:27,1769477429490,,0.8914,3.2795,1.615,1.6211,-0.3763,800,1292,1.615,1.614,6414200,1.613,5195400,1.612,3005100,1.611,1284700,1.610,3376100,1.615,141300,1.616,13263400,1.617,12504400,1.618,9570500,1.619,3808900,99999,449,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:30,1769477433494,,0.8914,2.7888,1.615,1.6211,-0.3763,0,0,1.615,1.614,6414200,1.613,5195400,1.612,3005100,1.611,1284700,1.610,3376100,1.615,1142400,1.616,13264400,1.617,12504400,1.618,10011800,1.619,3858900,99999,440,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:33,1769477436511,,0.8914,4.7907,1.614,1.6211,-0.438,700,1130,1.6143,1.614,6413500,1.613,5195400,1.612,3005100,1.611,1284700,1.610,376100,1.615,1256500,1.616,13259400,1.617,12504400,1.618,10016800,1.619,3858900,99999,478,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:36,1769477438516,,0.8914,3.8539,1.614,1.6211,-0.438,19300,31152,1.6141,1.614,6396800,1.613,5790200,1.612,3005100,1.611,1284700,1.610,3376100,1.615,1275000,1.616,13249400,1.617,12504400,1.618,10016800,1.619,3858900,99999,14,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:39,1769477442509,,0.8914,2.6919,1.614,1.6211,-0.438,1328400,2145320,1.615,1.614,6350900,1.613,5790200,1.612,3005100,1.611,1284700,1.610,3359000,1.615,49200,1.616,13305000,1.617,12504400,1.618,9766800,1.619,3588900,99999,13,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:42,1769477444509,,0.8914,2.4793,1.614,1.6208,-0.4195,91000,146945,1.6148,1.614,6335200,1.613,5790200,1.612,3005100,1.611,1284700,1.610,3359000,1.615,281200,1.616,13305000,1.617,12504400,1.618,9767300,1.619,3588900,99999,11,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:45,1769477448498,,0.8914,4.4293,1.615,1.6208,-0.3578,41000,66205,1.6148,1.614,6291900,1.613,5790200,1.612,3005100,1.611,1284700,1.610,3364000,1.615,263900,1.616,13301300,1.617,12505100,1.618,9767300,1.619,3588900,99999,19,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:48,1769477450493,,0.8914,3.7909,1.615,1.6208,-0.3578,290300,468829,1.615,1.615,2220000,1.614,5285000,1.613,5790200,1.612,3005100,1.611,838800,1.616,1077900,1.617,14725100,1.618,14771100,1.619,8588900,1.620,3467900,99999,14,0,26923.88,26933.0,-0.54,0,0.51
sz159920,09:30:51,1769477453479,,0.8914,4.7063,1.615,1.6208,-0.3578,34900,56363,1.615,1.615,6780300,1.614,5285000,1.613,3790200,1.612,559200,1.611,3689800,1.616,77900,1.617,14725100,1.618,14622100,1.619,8439900,1.620,3717900,99999,6,0,26923.88,26933.0,-0.54,0,0.51
