symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags,fut_price,fut_mid,fut_imb,fut_delta_vol,fut_pct
sz159920,09:28:48,1768958990096,,0.8919,0.0,1.591,1.5959,-0.307,0,0,1.591,1.591,748600,1.590,283200,1.589,27100,1.588,285900,1.587,44600,1.592,4015200,1.593,3100300,1.594,43000,1.595,16800,1.596,116800,99999,439,1,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:29:48,1768958991068,,0.8919,0.0,1.591,1.5959,-0.307,0,0,1.591,1.591,748600,1.590,283200,1.589,27100,1.588,285900,1.587,44600,1.592,4015200,1.593,3100300,1.594,43000,1.595,16800,1.596,116800,99999,436,0,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:30:00,1768959004076,,0.8919,0.0,1.592,1.5959,-0.2444,4216600,6712827,1.592,1.592,3637600,1.591,1964300,1.590,2417000,1.589,1056100,1.588,4339800,1.593,3110000,1.594,84700,1.595,1068300,1.596,1223700,1.597,4391000,99999,438,0,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:30:03,1768959007080,,0.8919,2.7466,1.593,1.5959,-0.1817,645900,1028368,1.5921,1.592,203400,1.591,4006000,1.590,4463400,1.589,4247700,1.588,1672400,1.593,9087400,1.594,6119600,1.595,6069600,1.596,1383600,1.597,4538800,99999,422,0,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:30:06,1768959009071,26432.16,0.8919,3.6211,1.594,1.5959,-0.1191,3290500,5241629,1.593,1.593,3110000,1.592,3041700,1.591,5011700,1.590,5653200,1.589,1701000,1.594,6336600,1.595,6479900,1.596,6308200,1.597,5127900,1.598,1791500,48,422,0,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:30:09,1768959013035,26434.93,0.8919,2.7582,1.594,1.5959,-0.1191,62000,98828,1.594,1.593,3001200,1.592,5324400,1.591,7012100,1.590,3243000,1.589,1701400,1.594,1030800,1.595,9479900,1.596,9562200,1.597,10129900,1.598,1791500,16,378,0,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:30:12,1768959016053,26436.58,0.8919,4.1938,1.594,1.5959,-0.1191,100,160,1.6,1.593,5003000,1.592,5324900,1.591,5040400,1.590,2517000,1.589,4560300,1.594,132600,1.595,9479900,1.596,9563700,1.597,10571000,1.598,2232600,801,392,0,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:30:15,1768959018042,26440.61,0.8919,5.0666,1.594,1.5959,-0.1191,0,0,1.594,1.593,5003600,1.592,5073600,1.591,5068300,1.590,2487000,1.589,4560300,1.594,191400,1.595,9229900,1.596,9566200,1.597,10231900,1.598,2232600,925,375,0,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:30:18,1768959022034,26454.09,0.8919,3.7747,1.594,1.598,-0.2503,223400,356099,1.594,1.593,8244600,1.592,6073700,1.591,5088300,1.590,2486400,1.589,4560300,1.594,6700,1.595,230500,1.596,9566900,1.597,12643000,1.598,7232600,959,392,0,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:30:21,1768959024056,26447.74,0.8919,4.9374,1.594,1.598,-0.2503,17000,27098,1.594,1.594,88900,1.593,5037600,1.592,6073700,1.591,5088300,1.590,1961100,1.595,1230500,1.596,9566900,1.597,12643000,1.598,7380400,1.599,2448800,1054,421,0,26471.8,26465.0,-0.33,0,-0.11
sz159920,09:30:24,1768959027063,26449.43,0.8919,4.5775,1.594,1.598,-0.2503,115000,183310,1.594,1.594,125300,1.593,5008000,1.592,5059700,1.591,5119200,1.590,1991100,1.595,9534700,1.596,9566900,1.597,10231900,1.598,2380400,1.599,2448800,47,447,0,26471.8,26465.0,-0.33,0,-0.11
