symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,data_flags
sh513130,09:30:57,1764811860176,,0,0.73,0.7293,0.096,,0.907,0.0,0,0,0.73,0.0,0.729,32129500,0.728,50843400,0.727,36396800,0.726,42038600,0.725,30926300,0.73,56891700,0.731,71260300,0.732,52469700,0.733,35124500,0.734,31465500,99999,0
sh513130,09:30:57,1764811861122,,0,0.73,0.7293,0.096,,0.907,0.0,0,0,0.73,0.946,0.729,32129500,0.728,50843400,0.727,36396800,0.726,42038600,0.725,30926300,0.73,56891700,0.731,71260300,0.732,52469700,0.733,35124500,0.734,31465500,99999,0
sh513130,09:31:00,1764811862116,,0,0.73,0.7293,0.096,,0.907,1.1884,860500,628148,0.73,0.994,0.729,33155100,0.728,50433400,0.727,37270600,0.726,42038600,0.725,30915900,0.73,58994000,0.731,70996500,0.732,52469700,0.733,35136100,0.734,31086500,99999,0
sh513130,09:31:00,1764811863127,,0,0.73,0.7293,0.096,,0.907,2.0895,0,0,0.73,1.011,0.729,33155100,0.728,50433400,0.727,37270600,0.726,42038600,0.725,30915900,0.73,58994000,0.731,70996500,0.732,52469700,0.733,35136100,0.734,31086500,99999,0
sh513130,09:31:03,1764811864127,,0,0.73,0.7293,0.096,,0.907,3.4397,220700,161074,0.7298,1.0,0.729,49877800,0.728,45777900,0.727,40514300,0.726,42038600,0.725,30919900,0.73,63537100,0.731,71355500,0.732,52638600,0.733,39643100,0.734,31086500,99999,0
sh513130,09:31:03,1764811865122,09:32:04,1764811864955,0.73,0.7293,0.096,5545.81,0.907,5.7893,0,0,0.73,0.995,0.729,49877800,0.728,45777900,0.727,40514300,0.726,42038600,0.725,30919900,0.73,63537100,0.731,71355500,0.732,52638600,0.733,39643100,0.734,31086500,167,0
sh513130,09:31:03,1764811866129,09:32:04,1764811864955,0.73,0.7293,0.096,5545.81,0.907,5.9973,0,0,0.73,1.007,0.729,49877800,0.728,45777900,0.727,40514300,0.726,42038600,0.725,30919900,0.73,63537100,0.731,71355500,0.732,52638600,0.733,39643100,0.734,31086500,1174,0
sh513130,09:31:03,1764811867122,09:32:06,1764811866620,0.73,0.7293,0.096,5544.02,0.907,5.7709,0,0,0.73,0.993,0.729,49877800,0.728,45777900,0.727,40514300,0.726,42038600,0.725,30919900,0.73,63537100,0.731,71355500,0.732,52638600,0.733,39643100,0.734,31086500,502,0
sh513130,09:31:06,1764811868127,09:32:06,1764811867131,0.73,0.7293,0.096,5544.02,0.907,5.5003,159700,116537,0.7297,1.004,0.729,47755600,0.728,45837300,0.727,35566700,0.726,42202300,0.725,30928200,0.73,68007200,0.731,71380500,0.732,52696800,0.733,35143100,0.734,31089500,996,0
sh513130,09:31:06,1764811869134,09:32:08,1764811868441,0.73,0.7293,0.096,5543.0,0.907,4.0583,0,0,0.73,1.007,0.729,47755600,0.728,45837300,0.727,35566700,0.726,42202300,0.725,30928200,0.73,68007200,0.731,71380500,0.732,52696800,0.733,35143100,0.734,31089500,693,0
sh513130,09:31:06,1764811870134,09:32:08,1764811869303,0.73,0.7293,0.096,5543.0,0.907,3.7875,0,0,0.73,1.0,0.729,47755600,0.728,45837300,0.727,35566700,0.726,42202300,0.725,30928200,0.73,68007200,0.731,71380500,0.732,52696800,0.733,35143100,0.734,31089500,831,0
sh513130,09:31:09,1764811871148,09:32:10,1764811870501,0.729,0.7293,-0.0411,5542.5,0.907,3.3963,122100,89107,0.7298,1.014,0.729,34696400,0.728,58791300,0.727,35566700,0.726,37202300,0.725,25928200,0.73,69002800,0.731,72348100,0.732,52698800,0.733,35165000,0.734,31090600,647,0
sh513130,09:31:09,1764811872139,09:32:10,1764811871476,0.729,0.7293,-0.0411,5542.5,0.907,4.6152,0,0,0.729,0.991,0.729,34696400,0.728,58791300,0.727,35566700,0.726,37202300,0.725,25928200,0.73,69002800,0.731,72348100,0.732,52698800,0.733,35165000,0.734,31090600,663,0
sh513130,09:31:09,1764811873143,09:32:12,1764811872433,0.729,0.7293,-0.0411,5541.21,0.907,3.9387,0,0,0.729,1.004,0.729,34696400,0.728,58791300,0.727,35566700,0.726,37202300,0.725,25928200,0.73,69002800,0.731,72348100,0.732,52698800,0.733,35165000,0.734,31090600,710,0
sh513130,09:31:12,1764811874156,09:32:12,1764811873660,0.729,0.7297,-0.0959,5541.21,0.907,3.99,34257000,24973604,0.729,1.013,0.728,65739800,0.727,55511200,0.726,37202300,0.725,33328200,0.724,23886900,0.729,44721800,0.73,60406000,0.731,69336600,0.732,45910200,0.733,32165300,496,0
sh513130,09:31:12,1764811875165,09:32:14,1764811874516,0.729,0.7297,-0.0959,5540.76,0.907,3.1416,0,0,0.729,1.009,0.728,65739800,0.727,55511200,0.726,37202300,0.725,33328200,0.724,23886900,0.729,44721800,0.73,60406000,0.731,69336600,0.732,45910200,0.733,32165300,649,0
sh513130,09:31:12,1764811876195,09:32:14,1764811875836,0.729,0.7297,-0.0959,5540.76,0.907,3.328,0,0,0.729,1.03,0.728,65739800,0.727,55511200,0.726,37202300,0.725,33328200,0.724,23886900,0.729,44721800,0.73,60406000,0.731,69336600,0.732,45910200,0.733,32165300,359,0
sh513130,09:31:15,1764811877185,09:32:16,1764811876482,0.729,0.7298,-0.1096,5541.37,0.907,2.7497,3617300,2636975,0.729,0.991,0.728,66439500,0.727,56369400,0.726,37202300,0.725,33328200,0.724,23887000,0.729,49255300,0.73,62518400,0.731,69383800,0.732,39726400,0.733,32165700,703,0
