symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags
sh513130,09:30:02,1766971807872,09:31:06,1766971807273,0.724,0.7216,0.3326,5547.97,0.9012,4.0111,0,0,0.724,0.0,0.723,21790200,0.722,32193000,0.721,29974100,0.720,25392300,0.719,24439200,0.724,17166800,0.725,17493200,0.726,24954900,0.727,21947300,0.728,18015500,599,0,1
sh513130,09:30:05,1766971808858,09:31:06,1766971807273,0.723,0.7216,0.194,5547.97,0.9012,2.3888,3389600,2453565,0.7239,0.987,0.723,25201400,0.722,32878400,0.721,30786300,0.720,27038100,0.719,23867900,0.724,19447500,0.725,19754800,0.726,24652400,0.727,22886400,0.728,18214200,1585,0,0
sh513130,09:30:05,1766971809851,09:31:08,1766971809583,0.723,0.7216,0.194,5545.1,0.9012,2.3826,0,0,0.723,0.993,0.723,25201400,0.722,32878400,0.721,30786300,0.720,27038100,0.719,23867900,0.724,19447500,0.725,19754800,0.726,24652400,0.727,22886400,0.728,18214200,268,0,0
sh513130,09:30:05,1766971810853,09:31:08,1766971809583,0.723,0.7216,0.194,5545.1,0.9012,3.1523,0,0,0.723,1.002,0.723,25201400,0.722,32878400,0.721,30786300,0.720,27038100,0.719,23867900,0.724,19447500,0.725,19754800,0.726,24652400,0.727,22886400,0.728,18214200,1269,0,0
sh513130,09:30:08,1766971811852,09:31:10,1766971811580,0.724,0.7236,0.0553,5550.35,0.9012,4.7811,4724000,3418481,0.7236,1.0,0.723,24654500,0.722,34312900,0.721,32126400,0.720,29126400,0.719,25519300,0.724,18765700,0.725,22118400,0.726,26125500,0.727,26566500,0.728,20038400,272,0,0
sh513130,09:30:08,1766971812854,09:31:10,1766971811580,0.724,0.7236,0.0553,5550.35,0.9012,5.2935,0,0,0.724,1.002,0.723,24654500,0.722,34312900,0.721,32126400,0.720,29126400,0.719,25519300,0.724,18765700,0.725,22118400,0.726,26125500,0.727,26566500,0.728,20038400,1273,0,0
sh513130,09:30:08,1766971813848,09:31:12,1766971813730,0.724,0.7236,0.0553,5549.64,0.9012,6.4851,0,0,0.724,0.994,0.723,24654500,0.722,34312900,0.721,32126400,0.720,29126400,0.719,25519300,0.724,18765700,0.725,22118400,0.726,26125500,0.727,26566500,0.728,20038400,117,0,0
sh513130,09:30:11,1766971814850,09:31:12,1766971813730,0.724,0.7236,0.0553,5549.64,0.9012,5.7982,6442200,4663702,0.7239,1.001,0.723,24662800,0.722,34491300,0.721,35111600,0.720,35289200,0.719,26561500,0.724,15074600,0.725,22374700,0.726,27180300,0.727,30049300,0.728,21795000,1119,0,0
sh513130,09:30:14,1766971815853,09:31:14,1766971815235,0.724,0.7236,0.0553,5552.32,0.9012,5.6073,2884100,2087615,0.7238,1.004,0.723,25060100,0.722,34059100,0.721,35851500,0.720,36432600,0.719,26745100,0.724,15204700,0.725,22799900,0.726,27510300,0.727,32465100,0.728,22061800,618,0,0
sh513130,09:30:14,1766971816854,09:31:14,1766971815883,0.724,0.7236,0.0553,5552.32,0.9012,6.0517,0,0,0.724,1.001,0.723,25060100,0.722,34059100,0.721,35851500,0.720,36432600,0.719,26745100,0.724,15204700,0.725,22799900,0.726,27510300,0.727,32465100,0.728,22061800,971,0,0
sh513130,09:30:14,1766971817848,09:31:16,1766971817225,0.724,0.7236,0.0553,5555.49,0.9012,5.9621,0,0,0.724,0.994,0.723,25060100,0.722,34059100,0.721,35851500,0.720,36432600,0.719,26745100,0.724,15204700,0.725,22799900,0.726,27510300,0.727,32465100,0.728,22061800,623,0,0
sh513130,09:30:14,1766971818853,09:31:16,1766971818027,0.724,0.7236,0.0553,5555.49,0.9012,3.4568,0,0,0.724,1.005,0.723,25060100,0.722,34059100,0.721,35851500,0.720,36432600,0.719,26745100,0.724,15204700,0.725,22799900,0.726,27510300,0.727,32465100,0.728,22061800,825,0,0
sh513130,09:30:17,1766971819853,09:31:18,1766971819743,0.724,0.7243,-0.0414,5557.66,0.9012,3.5634,2755300,1994696,0.7239,1.0,0.723,25389100,0.722,34346400,0.721,36685700,0.720,36957900,0.719,27067300,0.724,13857400,0.725,23013700,0.726,29118800,0.727,33221600,0.728,25191000,110,0,0
sh513130,09:30:17,1766971820857,09:31:18,1766971820179,0.724,0.7243,-0.0414,5557.66,0.9012,3.6961,0,0,0.724,1.004,0.723,25389100,0.722,34346400,0.721,36685700,0.720,36957900,0.719,27067300,0.724,13857400,0.725,23013700,0.726,29118800,0.727,33221600,0.728,25191000,678,0,0
sh513130,09:30:17,1766971821855,09:31:20,1766971821196,0.724,0.7243,-0.0414,5561.4,0.9012,4.1317,0,0,0.724,0.998,0.723,25389100,0.722,34346400,0.721,36685700,0.720,36957900,0.719,27067300,0.724,13857400,0.725,23013700,0.726,29118800,0.727,33221600,0.728,25191000,658,0,0
sh513130,09:30:20,1766971822850,09:31:20,1766971822330,0.724,0.7243,-0.0414,5561.4,0.9012,4.0586,8792700,6365844,0.724,0.995,0.723,25995500,0.722,37713400,0.721,39374800,0.720,35662500,0.719,26084300,0.724,7755800,0.725,23031700,0.726,28457300,0.727,34282600,0.728,26718900,519,0,0
sh513130,09:30:20,1766971823854,09:31:22,1766971823266,0.724,0.7243,-0.0414,5558.59,0.9012,3.0063,0,0,0.724,1.004,0.723,25995500,0.722,37713400,0.721,39374800,0.720,35662500,0.719,26084300,0.724,7755800,0.725,23031700,0.726,28457300,0.727,34282600,0.728,26718900,587,0,0
sh513130,09:30:20,1766971824859,09:31:22,1766971824481,0.724,0.7243,-0.0414,5558.59,0.9012,2.4873,0,0,0.724,1.005,0.723,25995500,0.722,37713400,0.721,39374800,0.720,35662500,0.719,26084300,0.724,7755800,0.725,23031700,0.726,28457300,0.727,34282600,0.728,26718900,378,0,0
sh513130,09:30:23,1766971825848,09:31:24,1766971825223,0.724,0.7256,-0.2205,5560.77,0.9012,1.5497,8011400,5800263,0.724,0.989,0.724,23955800,0.723,29953000,0.722,37884100,0.721,33142500,0.720,36776900,0.725,22596000,0.726,27770900,0.727,32116500,0.728,28133100,0.729,31158300,625,0,0
