symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,data_flags
sh513130,09:30:04,1765416608261,09:31:06,1765416607505,0.737,0.7372,-0.0271,5611.95,0.9075,5.1224,0,0,0.737,0.0,0.737,6767000,0.736,33399600,0.735,26203100,0.734,22709800,0.733,18091500,0.738,27018500,0.739,29918400,0.74,32340200,0.741,27684800,0.742,30105300,756,0
sh513130,09:30:07,1765416609245,09:31:08,1765416608460,0.738,0.7392,-0.1623,5612.65,0.9075,4.831,5546500,4091832,0.7377,0.984,0.737,18907900,0.736,42158500,0.735,27560900,0.734,23703700,0.733,16450400,0.738,25095400,0.739,33430000,0.74,34761800,0.741,38979200,0.742,38094900,785,0
sh513130,09:30:07,1765416610240,09:31:08,1765416609648,0.738,0.7392,-0.1623,5612.65,0.9075,4.4099,0,0,0.738,0.996,0.737,18907900,0.736,42158500,0.735,27560900,0.734,23703700,0.733,16450400,0.738,25095400,0.739,33430000,0.74,34761800,0.741,38979200,0.742,38094900,592,0
sh513130,09:30:07,1765416611232,09:31:10,1765416610459,0.738,0.7392,-0.1623,5614.18,0.9075,5.4625,0,0,0.738,0.992,0.737,18907900,0.736,42158500,0.735,27560900,0.734,23703700,0.733,16450400,0.738,25095400,0.739,33430000,0.74,34761800,0.741,38979200,0.742,38094900,773,0
sh513130,09:30:10,1765416612241,09:31:10,1765416611800,0.737,0.7379,-0.122,5614.18,0.9075,4.6277,5181400,3819204,0.7371,1.009,0.737,20289400,0.736,47142900,0.735,37666500,0.734,27903700,0.733,17818700,0.738,29875000,0.739,43630600,0.74,46705900,0.741,52372700,0.742,42406500,441,0
sh513130,09:30:10,1765416613238,09:31:12,1765416612499,0.737,0.7379,-0.122,5614.89,0.9075,5.0167,0,0,0.737,0.997,0.737,20289400,0.736,47142900,0.735,37666500,0.734,27903700,0.733,17818700,0.738,29875000,0.739,43630600,0.74,46705900,0.741,52372700,0.742,42406500,739,0
sh513130,09:30:10,1765416614242,09:31:12,1765416613954,0.737,0.7379,-0.122,5614.89,0.9075,3.8047,0,0,0.737,1.003,0.737,20289400,0.736,47142900,0.735,37666500,0.734,27903700,0.733,17818700,0.738,29875000,0.739,43630600,0.74,46705900,0.741,52372700,0.742,42406500,288,0
sh513130,09:30:13,1765416615232,09:31:14,1765416614455,0.738,0.7379,0.0136,5619.51,0.9075,6.1731,4084200,3012140,0.7375,0.99,0.737,19420200,0.736,47619100,0.735,38151600,0.734,27033400,0.733,18051500,0.738,29563900,0.739,44203100,0.74,48542700,0.741,52880500,0.742,42894200,777,0
sh513130,09:30:13,1765416616239,09:31:14,1765416616096,0.738,0.7379,0.0136,5619.51,0.9075,7.9199,0,0,0.738,1.007,0.737,19420200,0.736,47619100,0.735,38151600,0.734,27033400,0.733,18051500,0.738,29563900,0.739,44203100,0.74,48542700,0.741,52880500,0.742,42894200,143,0
sh513130,09:30:13,1765416617246,09:31:16,1765416616476,0.738,0.7379,0.0136,5621.33,0.9075,7.9376,0,0,0.738,1.007,0.737,19420200,0.736,47619100,0.735,38151600,0.734,27033400,0.733,18051500,0.738,29563900,0.739,44203100,0.74,48542700,0.741,52880500,0.742,42894200,770,0
sh513130,09:30:13,1765416618241,09:31:16,1765416616476,0.738,0.7379,0.0136,5621.33,0.9075,7.3427,0,0,0.738,0.995,0.737,19420200,0.736,47619100,0.735,38151600,0.734,27033400,0.733,18051500,0.738,29563900,0.739,44203100,0.74,48542700,0.741,52880500,0.742,42894200,1765,0
sh513130,09:30:16,1765416619249,09:31:18,1765416618459,0.737,0.7385,-0.2031,5624.09,0.9075,6.3858,3558500,2624391,0.7375,1.008,0.737,15370600,0.736,38558400,0.735,37969700,0.734,27351200,0.733,25340100,0.738,28283500,0.739,44357600,0.74,48797700,0.741,46538100,0.742,36089700,790,0
sh513130,09:30:16,1765416620248,09:31:18,1765416618459,0.737,0.7385,-0.2031,5624.09,0.9075,5.5863,0,0,0.737,0.999,0.737,15370600,0.736,38558400,0.735,37969700,0.734,27351200,0.733,25340100,0.738,28283500,0.739,44357600,0.74,48797700,0.741,46538100,0.742,36089700,1789,0
sh513130,09:30:16,1765416621248,09:31:20,1765416620437,0.737,0.7385,-0.2031,5622.51,0.9075,4.1006,0,0,0.737,1.0,0.737,15370600,0.736,38558400,0.735,37969700,0.734,27351200,0.733,25340100,0.738,28283500,0.739,44357600,0.74,48797700,0.741,46538100,0.742,36089700,811,0
sh513130,09:30:19,1765416622256,09:31:20,1765416620437,0.737,0.7385,-0.2031,5622.51,0.9075,4.6375,2306800,1701711,0.7377,1.009,0.737,14327500,0.736,31698000,0.735,37253300,0.734,27476100,0.733,24841200,0.738,26270500,0.739,44098800,0.74,52309200,0.741,46949000,0.742,34818400,1819,0
sh513130,09:30:19,1765416623253,09:31:22,1765416622557,0.737,0.7385,-0.2031,5625.01,0.9075,4.825,0,0,0.737,0.997,0.737,14327500,0.736,31698000,0.735,37253300,0.734,27476100,0.733,24841200,0.738,26270500,0.739,44098800,0.74,52309200,0.741,46949000,0.742,34818400,696,0
sh513130,09:30:19,1765416624257,09:31:22,1765416622557,0.737,0.7385,-0.2031,5625.01,0.9075,2.9189,0,0,0.737,1.003,0.737,14327500,0.736,31698000,0.735,37253300,0.734,27476100,0.733,24841200,0.738,26270500,0.739,44098800,0.74,52309200,0.741,46949000,0.742,34818400,1700,0
sh513130,09:30:22,1765416625257,09:31:24,1765416624719,0.738,0.7392,-0.1623,5623.53,0.9075,2.2032,4221300,3112124,0.7372,1.0,0.737,18782900,0.736,22973900,0.735,38296900,0.734,23488000,0.733,24907500,0.738,25901200,0.739,43640900,0.74,53134800,0.741,46592800,0.742,32866300,538,0
sh513130,09:30:22,1765416626271,09:31:24,1765416624719,0.738,0.7392,-0.1623,5623.53,0.9075,-0.6238,0,0,0.738,1.014,0.737,18782900,0.736,22973900,0.735,38296900,0.734,23488000,0.733,24907500,0.738,25901200,0.739,43640900,0.74,53134800,0.741,46592800,0.742,32866300,1552,0
sh513130,09:30:25,1765416627264,09:31:26,1765416626878,0.737,0.7392,-0.2976,5626.77,0.9075,1.0861,26257700,19377782,0.738,0.993,0.737,29878100,0.736,28929800,0.735,38499100,0.734,21756300,0.733,18589900,0.738,1089100,0.739,40213300,0.74,53419600,0.741,41331900,0.742,39886500,386,0
sh513130,09:30:25,1765416628257,09:31:26,1765416626878,0.737,0.7392,-0.2976,5626.77,0.9075,1.2004,0,0,0.737,0.994,0.737,29878100,0.736,28929800,0.735,38499100,0.734,21756300,0.733,18589900,0.738,1089100,0.739,40213300,0.74,53419600,0.741,41331900,0.742,39886500,1379,0
sh513130,09:30:25,1765416629265,09:31:28,1765416629022,0.737,0.7392,-0.2976,5625.6,0.9075,2.7664,0,0,0.737,1.008,0.737,29878100,0.736,28929800,0.735,38499100,0.734,21756300,0.733,18589900,0.738,1089100,0.739,40213300,0.74,53419600,0.741,41331900,0.742,39886500,243,0
sh513130,09:30:28,1765416630271,09:31:28,1765416629022,0.738,0.7392,-0.1623,5625.6,0.9075,2.6479,6054200,4471169,0.7385,1.006,0.738,4999100,0.737,45727900,0.736,29212700,0.735,39658200,0.734,21780300,0.739,33684200,0.74,54296800,0.741,41818600,0.742,44241100,0.743,34861800,1249,0
sh513130,09:30:28,1765416631262,09:31:30,1765416631172,0.738,0.7392,-0.1623,5626.02,0.9075,2.426,0,0,0.738,0.991,0.738,4999100,0.737,45727900,0.736,29212700,0.735,39658200,0.734,21780300,0.739,33684200,0.74,54296800,0.741,41818600,0.742,44241100,0.743,34861800,90,0
sh513130,09:30:28,1765416632272,09:31:30,1765416631172,0.738,0.7392,-0.1623,5626.02,0.9075,2.3207,0,0,0.738,1.01,0.738,4999100,0.737,45727900,0.736,29212700,0.735,39658200,0.734,21780300,0.739,33684200,0.74,54296800,0.741,41818600,0.742,44241100,0.743,34861800,1100,0
sh513130,09:30:28,1765416633273,09:31:32,1765416632494,0.738,0.7392,-0.1623,5625.24,0.9075,2.63,0,0,0.738,1.0,0.738,4999100,0.737,45727900,0.736,29212700,0.735,39658200,0.734,21780300,0.739,33684200,0.74,54296800,0.741,41818600,0.742,44241100,0.743,34861800,779,0
sh513130,09:30:31,1765416634272,09:31:32,1765416633323,0.738,0.7405,-0.3376,5625.24,0.9075,2.5442,2637000,1946106,0.738,0.999,0.738,9580000,0.737,49872000,0.736,31818900,0.735,40035300,0.734,21934100,0.739,34355200,0.74,54595000,0.741,41981000,0.742,45687900,0.743,34888300,949,0
sh513130,09:30:31,1765416635272,09:31:34,1765416634472,0.738,0.7405,-0.3376,5622.83,0.9075,2.6306,0,0,0.738,1.001,0.738,9580000,0.737,49872000,0.736,31818900,0.735,40035300,0.734,21934100,0.739,34355200,0.74,54595000,0.741,41981000,0.742,45687900,0.743,34888300,800,0
sh513130,09:30:34,1765416636272,09:31:34,1765416635476,0.738,0.7405,-0.3376,5622.83,0.9075,2.2727,2537000,1872355,0.738,1.0,0.738,22836800,0.737,44730300,0.736,33102200,0.735,40317300,0.734,22208100,0.739,34210900,0.74,57467500,0.741,43013800,0.742,40113200,0.743,30082300,796,0
sh513130,09:30:34,1765416637272,09:31:36,1765416636557,0.738,0.7405,-0.3376,5621.19,0.9075,3.623,0,0,0.738,1.0,0.738,22836800,0.737,44730300,0.736,33102200,0.735,40317300,0.734,22208100,0.739,34210900,0.74,57467500,0.741,43013800,0.742,40113200,0.743,30082300,715,0
sh513130,09:30:34,1765416638272,09:31:36,1765416637625,0.738,0.7405,-0.3376,5621.19,0.9075,3.9119,0,0,0.738,1.0,0.738,22836800,0.737,44730300,0.736,33102200,0.735,40317300,0.734,22208100,0.739,34210900,0.74,57467500,0.741,43013800,0.742,40113200,0.743,30082300,647,0
sh513130,09:30:34,1765416639271,09:31:38,1765416638446,0.738,0.7405,-0.3376,5619.03,0.9075,2.7363,0,0,0.738,0.999,0.738,22836800,0.737,44730300,0.736,33102200,0.735,40317300,0.734,22208100,0.739,34210900,0.74,57467500,0.741,43013800,0.742,40113200,0.743,30082300,825,0
sh513130,09:30:37,1765416640281,09:31:38,1765416639774,0.738,0.7392,-0.1623,5619.03,0.9075,2.1899,2857500,2108952,0.738,1.01,0.738,25163400,0.737,44074400,0.736,36208100,0.735,40540800,0.734,22192100,0.739,37827200,0.74,58564300,0.741,44380800,0.742,37330800,0.743,30292700,507,0
sh513130,09:30:37,1765416641289,09:31:40,1765416640458,0.738,0.7392,-0.1623,5619.35,0.9075,0.9251,0,0,0.738,1.008,0.738,25163400,0.737,44074400,0.736,36208100,0.735,40540800,0.734,22192100,0.739,37827200,0.74,58564300,0.741,44380800,0.742,37330800,0.743,30292700,831,0
sh513130,09:30:40,1765416642271,09:31:40,1765416641924,0.738,0.7392,-0.1623,5619.35,0.9075,-1.3612,3391600,2503011,0.738,0.982,0.738,31962400,0.737,46943700,0.736,36217000,0.735,40650800,0.734,22181300,0.739,40697600,0.74,58970400,0.741,43610400,0.742,36535300,0.743,29455600,347,0
sh513130,09:30:40,1765416643282,09:31:42,1765416642473,0.738,0.7392,-0.1623,5616.58,0.9075,-1.2939,0,0,0.738,1.011,0.738,31962400,0.737,46943700,0.736,36217000,0.735,40650800,0.734,22181300,0.739,40697600,0.74,58970400,0.741,43610400,0.742,36535300,0.743,29455600,809,0
sh513130,09:30:40,1765416644282,09:31:42,1765416644066,0.738,0.7392,-0.1623,5616.58,0.9075,-2.0103,0,0,0.738,1.0,0.738,31962400,0.737,46943700,0.736,36217000,0.735,40650800,0.734,22181300,0.739,40697600,0.74,58970400,0.741,43610400,0.742,36535300,0.743,29455600,216,0
sh513130,09:30:43,1765416645281,09:31:44,1765416644465,0.738,0.7392,-0.1623,5616.95,0.9075,-1.8426,2394100,1767034,0.7381,1.0,0.738,40708700,0.737,47935000,0.736,36304700,0.735,40362500,0.734,23201700,0.739,49099900,0.74,59738000,0.741,43641600,0.742,36658200,0.743,30439400,816,0
sh513130,09:30:43,1765416646281,09:31:44,1765416646221,0.738,0.7392,-0.1623,5616.95,0.9075,-0.5829,0,0,0.738,1.0,0.738,40708700,0.737,47935000,0.736,36304700,0.735,40362500,0.734,23201700,0.739,49099900,0.74,59738000,0.741,43641600,0.742,36658200,0.743,30439400,60,0
sh513130,09:30:43,1765416647291,09:31:46,1765416646488,0.738,0.7392,-0.1623,5615.11,0.9075,-0.5538,0,0,0.738,1.01,0.738,40708700,0.737,47935000,0.736,36304700,0.735,40362500,0.734,23201700,0.739,49099900,0.74,59738000,0.741,43641600,0.742,36658200,0.743,30439400,803,0
sh513130,09:30:46,1765416648287,09:31:46,1765416646488,0.738,0.7385,-0.0677,5615.11,0.9075,1.7684,22990900,16968536,0.7381,0.995,0.738,101100,0.737,51569000,0.736,47568300,0.735,39471400,0.734,30623000,0.739,48938300,0.74,70232600,0.741,57605100,0.742,37901600,0.743,27594900,1799,0
