symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5
sh513130,09:31:28,1764639092081,,0,0.745,0.7441,0.121,0.0,0.9075,0.0,0,0,0.745,0.0,0.745,25623000,0.744,65947800,0.743,69667100,0.742,45183000,0.741,21971100,0.746,48202900,0.747,74465400,0.748,52895300,0.749,49608200,0.75,53105500
sh513130,09:31:31,1764639092811,,0,0.744,0.7448,-0.1074,0.0,0.9075,0.2117,12314600,9174410,0.745,0.73,0.744,53933400,0.743,70451200,0.742,57186600,0.741,21992100,0.74,36092700,0.745,32425600,0.746,48176300,0.747,74292400,0.748,53022200,0.749,49710700
sh513130,09:31:31,1764639094544,,0,0.744,0.7448,-0.1074,0.0,0.9075,1.3019,0,0,0.744,1.733,0.744,53933400,0.743,70451200,0.742,57186600,0.741,21992100,0.74,36092700,0.745,32425600,0.746,48176300,0.747,74292400,0.748,53022200,0.749,49710700
sh513130,09:31:43,1764639106532,,0,0.744,0.7441,-0.0134,0.0,0.9075,0.0,0,0,0.744,0.0,0.744,45287000,0.743,69991600,0.742,62552200,0.741,31151000,0.74,36408300,0.745,47548400,0.746,54453100,0.747,73474500,0.748,40325800,0.749,48155000
sh513130,09:31:43,1764639107907,,0,0.744,0.7441,-0.0134,0.0,0.9075,1.1858,0,0,0.744,1.375,0.744,45287000,0.743,69991600,0.742,62552200,0.741,31151000,0.74,36408300,0.745,47548400,0.746,54453100,0.747,73474500,0.748,40325800,0.749,48155000
sh513130,09:31:46,1764639108531,,0,0.744,0.7441,-0.0134,0.0,0.9075,2.7413,1220100,907863,0.7441,0.624,0.744,36516300,0.743,78789600,0.742,63420500,0.741,32307200,0.74,36408300,0.745,48531500,0.746,50571400,0.747,73591800,0.748,40436500,0.749,49682700
sh513130,09:31:46,1764639109761,,0,0.744,0.7441,-0.0134,0.0,0.9075,2.0893,0,0,0.744,1.23,0.744,36516300,0.743,78789600,0.742,63420500,0.741,32307200,0.74,36408300,0.745,48531500,0.746,50571400,0.747,73591800,0.748,40436500,0.749,49682700
sh513130,09:31:46,1764639111928,,0,0.744,0.7441,-0.0134,0.0,0.9075,5.691,0,0,0.744,2.167,0.744,36516300,0.743,78789600,0.742,63420500,0.741,32307200,0.74,36408300,0.745,48531500,0.746,50571400,0.747,73591800,0.748,40436500,0.749,49682700
sh513130,09:31:49,1764639113048,,0,0.744,0.7441,-0.0134,0.0,0.9075,4.4346,879900,654649,0.744,1.12,0.744,36545800,0.743,78101200,0.742,65310500,0.741,32956100,0.74,36840800,0.745,52978400,0.746,50453900,0.747,73424100,0.748,40387500,0.749,49916000
sh513130,09:31:49,1764639113708,,0,0.744,0.7441,-0.0134,0.0,0.9075,4.4346,0,0,0.744,0.661,0.744,36545800,0.743,78101200,0.742,65310500,0.741,32956100,0.74,36840800,0.745,52978400,0.746,50453900,0.747,73424100,0.748,40387500,0.749,49916000
