symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5
sh513130,09:30:03,1765243807497,09:31:06,1765243807065,0.746,0.7459,0.0134,5657.12,0.9084,1.0976,0,0,0.746,0.0,0.745,16703800,0.744,21845600,0.743,33681100,0.742,34640600,0.741,33930500,0.746,20386000,0.747,29770800,0.748,33746500,0.749,31404100,0.750,32543900
sh513130,09:30:06,1765243808448,09:31:08,1765243808447,0.746,0.7459,0.0134,5658.38,0.9084,2.6264,413000,307917,0.7456,0.951,0.745,16532400,0.744,27430200,0.743,42474000,0.742,37125400,0.741,33805800,0.746,24680300,0.747,34683100,0.748,36217000,0.749,32383400,0.750,33252400
sh513130,09:30:06,1765243809445,09:31:08,1765243808558,0.746,0.7459,0.0134,5658.38,0.9084,1.4082,0,0,0.746,0.998,0.745,16532400,0.744,27430200,0.743,42474000,0.742,37125400,0.741,33805800,0.746,24680300,0.747,34683100,0.748,36217000,0.749,32383400,0.750,33252400
sh513130,09:30:08,1765243810447,09:31:10,1765243810438,0.745,0.7452,-0.0268,5659.01,0.9084,1.3387,1228200,915875,0.7457,1.001,0.745,12475900,0.744,34567900,0.743,50676900,0.742,38155200,0.741,30052400,0.746,30914200,0.747,45973800,0.748,37777700,0.749,34318400,0.750,30949000
sh513130,09:30:08,1765243811451,09:31:10,1765243810517,0.745,0.7452,-0.0268,5659.01,0.9084,1.5707,0,0,0.745,1.004,0.745,12475900,0.744,34567900,0.743,50676900,0.742,38155200,0.741,30052400,0.746,30914200,0.747,45973800,0.748,37777700,0.749,34318400,0.750,30949000
sh513130,09:30:08,1765243812453,09:31:12,1765243812415,0.745,0.7452,-0.0268,5658.58,0.9084,1.3391,0,0,0.745,1.002,0.745,12475900,0.744,34567900,0.743,50676900,0.742,38155200,0.741,30052400,0.746,30914200,0.747,45973800,0.748,37777700,0.749,34318400,0.750,30949000
sh513130,09:30:08,1765243813465,09:31:12,1765243812486,0.745,0.7452,-0.0268,5658.58,0.9084,0.795,0,0,0.745,1.013,0.745,12475900,0.744,34567900,0.743,50676900,0.742,38155200,0.741,30052400,0.746,30914200,0.747,45973800,0.748,37777700,0.749,34318400,0.750,30949000
sh513130,09:30:12,1765243814458,09:31:14,1765243814433,0.745,0.7452,-0.0268,5659.36,0.9084,1.0814,652000,485757,0.745,0.992,0.745,11320500,0.744,42326200,0.743,51671000,0.742,39195300,0.741,30640800,0.746,34424900,0.747,46827100,0.748,39311100,0.749,34973700,0.750,32048400
sh513130,09:30:12,1765243815466,09:31:14,1765243814532,0.745,0.7452,-0.0268,5659.36,0.9084,-1.1407,0,0,0.745,1.009,0.745,11320500,0.744,42326200,0.743,51671000,0.742,39195300,0.741,30640800,0.746,34424900,0.747,46827100,0.748,39311100,0.749,34973700,0.750,32048400
sh513130,09:30:15,1765243816464,09:31:16,1765243816456,0.745,0.7452,-0.0268,5658.57,0.9084,-0.6112,969500,722428,0.7452,0.998,0.745,12482200,0.744,47191500,0.743,54555700,0.742,39519800,0.741,30868800,0.746,36472200,0.747,49001700,0.748,40425600,0.749,35402200,0.750,33979700
sh513130,09:30:15,1765243817465,09:31:16,1765243816549,0.745,0.7452,-0.0268,5658.57,0.9084,-0.4415,0,0,0.745,1.001,0.745,12482200,0.744,47191500,0.743,54555700,0.742,39519800,0.741,30868800,0.746,36472200,0.747,49001700,0.748,40425600,0.749,35402200,0.750,33979700
sh513130,09:30:15,1765243818463,09:31:18,1765243818450,0.745,0.7452,-0.0268,5657.85,0.9084,1.0891,0,0,0.745,0.997,0.745,12482200,0.744,47191500,0.743,54555700,0.742,39519800,0.741,30868800,0.746,36472200,0.747,49001700,0.748,40425600,0.749,35402200,0.750,33979700
sh513130,09:30:18,1765243819466,09:31:18,1765243818697,0.746,0.7452,0.1074,5657.85,0.9084,3.082,1239000,923152,0.7451,1.003,0.745,12677200,0.744,38814800,0.743,54715900,0.742,39727800,0.741,31822300,0.746,25009200,0.747,49152700,0.748,41105800,0.749,36066300,0.750,35270700
sh513130,09:30:18,1765243820463,09:31:20,1765243820439,0.746,0.7452,0.1074,5658.71,0.9084,2.9372,0,0,0.746,0.997,0.745,12677200,0.744,38814800,0.743,54715900,0.742,39727800,0.741,31822300,0.746,25009200,0.747,49152700,0.748,41105800,0.749,36066300,0.750,35270700
sh513130,09:30:18,1765243821487,09:31:20,1765243820846,0.746,0.7452,0.1074,5658.71,0.9084,3.9812,0,0,0.746,1.024,0.745,12677200,0.744,38814800,0.743,54715900,0.742,39727800,0.741,31822300,0.746,25009200,0.747,49152700,0.748,41105800,0.749,36066300,0.750,35270700
sh513130,09:30:20,1765243822482,09:31:22,1765243822444,0.746,0.7459,0.0134,5658.77,0.9084,3.8024,2326200,1735226,0.7459,0.995,0.745,11481100,0.744,39321900,0.743,54775200,0.742,40148100,0.741,30897600,0.746,23673800,0.747,49163300,0.748,40369500,0.749,35361000,0.750,35130200
sh513130,09:30:20,1765243823482,09:31:22,1765243822999,0.746,0.7459,0.0134,5658.77,0.9084,3.5853,0,0,0.746,1.0,0.745,11481100,0.744,39321900,0.743,54775200,0.742,40148100,0.741,30897600,0.746,23673800,0.747,49163300,0.748,40369500,0.749,35361000,0.750,35130200
sh513130,09:30:20,1765243824475,09:31:24,1765243824432,0.746,0.7459,0.0134,5659.56,0.9084,2.8642,0,0,0.746,0.993,0.745,11481100,0.744,39321900,0.743,54775200,0.742,40148100,0.741,30897600,0.746,23673800,0.747,49163300,0.748,40369500,0.749,35361000,0.750,35130200
sh513130,09:30:23,1765243825465,09:31:24,1765243825150,0.746,0.7452,0.1074,5659.56,0.9084,2.4278,794400,591970,0.7452,0.99,0.745,11045400,0.744,31822600,0.743,59826700,0.742,54134200,0.741,31429200,0.746,36539300,0.747,53891600,0.748,46323100,0.749,30288200,0.750,35492000
sh513130,09:30:23,1765243826468,09:31:26,1765243826436,0.746,0.7452,0.1074,5660.34,0.9084,1.7194,0,0,0.746,1.003,0.745,11045400,0.744,31822600,0.743,59826700,0.742,54134200,0.741,31429200,0.746,36539300,0.747,53891600,0.748,46323100,0.749,30288200,0.750,35492000
sh513130,09:30:23,1765243827469,09:31:26,1765243827306,0.746,0.7452,0.1074,5660.34,0.9084,1.6346,0,0,0.746,1.002,0.745,11045400,0.744,31822600,0.743,59826700,0.742,54134200,0.741,31429200,0.746,36539300,0.747,53891600,0.748,46323100,0.749,30288200,0.750,35492000
sh513130,09:30:27,1765243828476,09:31:28,1765243828429,0.746,0.7452,0.1074,5662.63,0.9084,1.5542,411000,306286,0.7452,1.006,0.745,11219500,0.744,36258400,0.743,48771100,0.742,68306300,0.741,45712200,0.746,45943100,0.747,39963600,0.748,60109800,0.749,43287800,0.750,37051300
sh513130,09:30:27,1765243829489,09:31:28,1765243829449,0.746,0.7452,0.1074,5662.63,0.9084,2.6423,0,0,0.746,1.014,0.745,11219500,0.744,36258400,0.743,48771100,0.742,68306300,0.741,45712200,0.746,45943100,0.747,39963600,0.748,60109800,0.749,43287800,0.750,37051300
sh513130,09:30:27,1765243830477,09:31:30,1765243830430,0.746,0.7452,0.1074,5668.24,0.9084,3.6933,0,0,0.746,0.987,0.745,11219500,0.744,36258400,0.743,48771100,0.742,68306300,0.741,45712200,0.746,45943100,0.747,39963600,0.748,60109800,0.749,43287800,0.750,37051300
sh513130,09:30:30,1765243831497,09:31:30,1765243830538,0.745,0.7452,-0.0268,5668.24,0.9084,3.2896,649200,483887,0.7454,1.021,0.745,12857800,0.744,39311800,0.743,49490000,0.742,58314100,0.741,45843200,0.746,34428500,0.747,40285000,0.748,60279700,0.749,48591700,0.750,37438500
sh513130,09:30:30,1765243832480,09:31:32,1765243832453,0.745,0.7452,-0.0268,5666.34,0.9084,0.5651,0,0,0.745,0.982,0.745,12857800,0.744,39311800,0.743,49490000,0.742,58314100,0.741,45843200,0.746,34428500,0.747,40285000,0.748,60279700,0.749,48591700,0.750,37438500
sh513130,09:30:30,1765243833482,09:31:32,1765243832556,0.745,0.7452,-0.0268,5666.34,0.9084,0.5366,0,0,0.745,1.002,0.745,12857800,0.744,39311800,0.743,49490000,0.742,58314100,0.741,45843200,0.746,34428500,0.747,40285000,0.748,60279700,0.749,48591700,0.750,37438500
